Name,Historical return,Market Volatility,Risk Level
FTV,0.158538045,0.206233424,Medium
F,0.104995597,0.328065491,Medium
GD,0.506461628,0.170160518,Low
GE,1.108305328,0.257325928,Medium
GILD,-0.113455168,0.219590861,Medium
GIS,-0.166216896,0.186435834,Low
GLW,0.262520824,0.217241766,Medium
GM,0.413223142,0.28903605,Medium
GOOGL,0.459179046,0.281687947,Medium
GOOG,0.465053918,0.280368143,Medium
GPC,0.00088132,0.249910278,Medium
GPN,0.077875953,0.273628692,Medium
GPS,2.366132569,0.53217489,High
GRMN,0.667297524,0.245050372,Medium
GS,0.4673743,0.21638628,Medium
GT,-0.049651625,0.400928002,High
GWW,0.443434742,0.207206005,Medium
HAL,0.32873671,0.275782297,Medium
HAS,0.130105674,0.330851117,Medium
HBAN,0.451850466,0.275971883,Medium
HBI,0.380255304,0.549907584,High
HCA,0.313818075,0.226095301,Medium
HCP,0.159204929,0.577961195,High
HD,0.214496005,0.191016723,Low
HES,0.240604019,0.255559617,Medium
HIG,0.527398338,0.171236486,Low
HII,0.302589829,0.230432901,Medium
HLT,0.478040439,0.193454547,Low
HOG,0.236986116,0.371735948,Medium
HOLX,-0.065036632,0.182321838,Low
HON,0.08674226,0.163593897,Low
HPE,0.384950662,0.300919557,Medium
HPQ,0.424353507,0.285381929,Medium
HP,0.3307191,0.351171031,Medium
HRB,0.757855401,0.261808836,Medium
HRL,-0.134661631,0.286156982,Medium
HSIC,-0.041653608,0.213735951,Medium
HST,0.165420491,0.242676708,Medium
HSY,-0.222662898,0.200104161,Medium
HUM,-0.263145152,0.327293631,Medium
IBM,0.373009807,0.206133174,Medium
ICE,0.294543048,0.166190726,Low
IDXX,0.121879266,0.291979577,Medium
IFF,0.360106442,0.332950577,Medium
ILMN,-0.445204348,0.398795225,Medium
INCY,-0.040921048,0.247135873,Medium
INTC,0.052068484,0.392471624,Medium
INTU,0.399940239,0.259464817,Medium
IPG,-0.109130546,0.264130372,Medium
IP,0.664519253,0.289581748,Medium
IQV,0.170855674,0.268632277,Medium
IRM,0.594264095,0.229797395,Medium
IR,0.667969012,0.219257655,Medium
ISRG,0.360121203,0.270434496,Medium
ITW,0.126684499,0.163328718,Low
IT,0.248921763,0.255662133,Medium
IVZ,0.186789546,0.32020169,Medium
JBHT,-0.019430524,0.257596329,Medium
JCI,0.269513175,0.249815736,Medium
JNJ,-0.021188969,0.162164753,Low
JNPR,0.230787053,0.29272717,Medium
JPM,0.532076294,0.169456566,Low
JWN,0.605546684,0.484414521,High
KEY,0.726792049,0.391580015,Medium
KHC,-0.035145493,0.185333316,Low
KIM,0.117464378,0.255892299,Medium
KLAC,0.85269217,0.32282576,Medium
KMB,0.015643197,0.160118319,Low
KMI,0.277621137,0.16586626,Low
KMX,0.03657305,0.378999049,Medium
KO,0.081229014,0.130084546,Low
KR,0.199735919,0.203719836,Medium
KSS,0.492613659,0.593062778,High
K,-0.003595653,0.204545471,Medium
LEG,-0.574076099,0.413209392,High
LEN,0.556425169,0.301885863,Medium
LH,0.092341648,0.182243874,Low
LKQ,-0.159582698,0.250122561,Medium
LLY,1.002401678,0.300051065,Medium
LMT,0.075534823,0.169207279,Low
LNC,0.780694009,0.361134062,Medium
LNT,0.029996915,0.189450321,Low
LOW,0.118227704,0.211555607,Medium
LRCX,0.646739126,0.328981711,Medium
LUV,-0.047083962,0.355394344,Medium
LYB,0.205352695,0.193301245,Low
L,0.36493066,0.141011505,Low
MAA,-0.05692853,0.221104366,Medium
MAC,0.78135076,0.43498591,High
MAR,0.411278391,0.212745365,Medium
MAS,0.488633044,0.251099706,Medium
MAT,0.037100233,0.254496307,Medium
MA,0.234140315,0.155826075,Low
MCD,-0.085993888,0.150644307,Low
MCHP,0.377594942,0.323329164,Medium
MCK,0.467682256,0.18400561,Low
MCO,0.28541865,0.198350018,Low
MDLZ,-0.039737387,0.170194835,Low
MDT,0.024169042,0.186573205,Low
MET,0.515758726,0.203009444,Medium
MGM,0.02972301,0.313155904,Medium
MHK,0.359693726,0.326621861,Medium
MKC,-0.131710281,0.244432312,Medium
MLM,0.46793057,0.218941114,Medium
MMC,0.210920819,0.144402872,Low
MMM,0.399543762,0.2896692,Medium
MNST,-0.106684632,0.211845386,Medium
MOS,0.009859296,0.328801552,Medium
MO,0.134704497,0.172096786,Low
MPC,0.738211435,0.269075867,Medium
MRK,0.177292217,0.175828333,Low
MRO,0.351609898,0.290755588,Medium
MSFT,0.301881664,0.20901573,Medium
MSI,0.31264596,0.175696425,Low
MS,0.276164428,0.243259982,Medium
MTB,0.335757026,0.293596807,Medium
MTD,0.098849207,0.316226299,Medium
MU,0.993027155,0.365477682,Medium
M,0.653347299,0.491193816,High
NAVI,0.078391747,0.275875823,Medium
NCLH,0.265480939,0.51738606,High
NDAQ,0.114334926,0.230169142,Medium
NEE,0.135115136,0.281968444,Medium
NEM,0.1295889,0.351238619,Medium
NFLX,0.743335603,0.350484841,Medium
NI,0.102076567,0.192722345,Low
NKE,-0.066775802,0.269650718,Medium
NOC,0.065997733,0.211350492,Medium
NOV,0.395084402,0.33524882,Medium
NRG,1.691346007,0.269584404,Medium
NSC,0.116919547,0.234882559,Medium
NTAP,0.881548311,0.303832374,Medium
NTRS,0.24658359,0.281944497,Medium
NUE,0.326976196,0.271942517,Medium
NVDA,2.228059022,0.442538437,High
NWL,0.051042821,0.510902491,High
NWSA,0.520289595,0.217346857,Medium
NWS,0.548765207,0.218068489,Medium
OKE,0.520726029,0.190503677,Low
OMC,0.089924108,0.223309054,Medium
ORCL,0.182775905,0.323072711,Medium
ORLY,0.087705349,0.195864925,Low
OXY,0.102895027,0.225888585,Medium
O,-0.065467933,0.195869827,Low
PAYX,0.184589837,0.187426029,Low
PCAR,0.64717607,0.2113075,Medium
PCG,0.104111157,0.207264178,Medium
PDCO,0.013426748,0.333613763,Medium
PEG,0.306102663,0.180483653,Low
PEP,-0.024365337,0.165143409,Low
PFE,-0.193974667,0.244164532,Medium
PFG,0.301346376,0.201913052,Medium
PGR,0.688677418,0.259847849,Medium
PG,0.181943102,0.13751023,Low
PHM,0.855070738,0.307877578,Medium
PH,0.70914303,0.239398409,Medium
PKG,0.546504254,0.209659187,Medium
PLD,-0.08269664,0.256596085,Medium
PM,0.181931376,0.158263991,Low
PNC,0.43927403,0.258172556,Medium
PNR,0.490514016,0.232273481,Medium
PNW,0.06612677,0.203121609,Medium
PPG,0.021991456,0.196699833,Low
PPL,0.150982047,0.180654212,Low
PRGO,-0.053137865,0.33886182,Medium
PRU,0.613964515,0.188972067,Low
PSA,0.014193069,0.229141973,Medium
PSX,0.612101597,0.244308222,Medium
PVH,0.457324505,0.398854324,Medium
PWR,0.644938788,0.284633196,Medium
PXD,0.47235184,0.223047339,Medium
PX,-0.184132705,0.346420395,Medium
PYPL,0.074714534,0.354409461,Medium
QCOM,0.93982515,0.306357097,Medium
QRVO,0.054650318,0.328464131,Medium
RCL,0.91984301,0.31860139,Medium
REGN,0.346298882,0.198251966,Low
REG,0.137600138,0.203669078,Medium
RF,0.217002055,0.310969664,Medium
RHI,0.039781004,0.233112662,Medium
RJF,0.403797758,0.213705465,Medium
RL,0.866385504,0.300328533,Medium
RMD,0.0853597,0.395140637,Medium
ROK,-0.014171296,0.303533161,Medium
ROP,0.179401725,0.148042954,Low
ROST,0.3962001,0.210380251,Medium
RRC,0.42756645,0.324786425,Medium
RSG,0.314686893,0.129575139,Low
SBAC,-0.075665544,0.292149594,Medium
SBUX,-0.144591316,0.260838508,Medium
SCHW,0.446945037,0.292746738,Medium
SEE,0.081827671,0.348825562,Medium
SHW,0.36606474,0.198393848,Low
SIG,0.860336297,0.439781375,High
SJM,-0.220598978,0.214615799,Medium
SLB,0.126761484,0.270979225,Medium
SLG,1.844079544,0.585089737,High
SNA,0.134355071,0.218200054,Medium
SNPS,0.288762313,0.271776402,Medium
SO,0.184803626,0.18039395,Low
SPGI,0.180047265,0.193627251,Low
SPG,0.539452149,0.222547984,Medium
SRCL,0.233078818,0.326913604,Medium
SRE,0.090769499,0.183561467,Low
STI,0.460562666,2.142939376,High
STT,0.166436912,0.238904035,Medium
STX,0.706248196,0.316946558,Medium
STZ,0.045746673,0.174530435,Low
SWKS,-0.053644549,0.312816488,Medium
SWK,0.239169154,0.308044448,Medium
SYF,0.484418881,0.273952457,Medium
SYK,0.276268845,0.206476423,Medium
SYY,0.069357044,0.176340191,Low
TAP,-0.094736273,0.218278457,Medium
TDG,0.812259267,0.20439027,Medium
TEL,0.257665493,0.201160088,Medium
TGT,0.244404832,0.322478371,Medium
TJX,0.385627975,0.161458314,Low
TMO,0.135269487,0.211649789,Medium
TPR,0.159082362,0.327592928,Medium
TRIP,0.31387621,0.495154078,High
TROW,0.165595202,0.25688931,Medium
TRV,0.30679974,0.184875405,Low
TSCO,0.401635088,0.226143452,Medium
TSN,0.188955853,0.22166605,Medium
TXN,0.195096347,0.238885097,Medium
TXT,0.438689715,0.243607579,Medium
T,0.234851163,0.236771992,Medium
UAA,0.042090982,0.394772442,Medium
UAL,0.165271274,0.388971376,Medium
UA,0.099736191,0.376830951,Medium
UDR,0.023613842,0.228078224,Medium
UHS,0.455020951,0.23728914,Medium
ULTA,-0.01751101,0.292444336,Medium
UNH,0.028959839,0.222716947,Medium
UNM,0.287817154,0.212276488,Medium
UNP,0.235326121,0.199528366,Low
UPS,-0.120484442,0.236999403,Medium
URI,1.134084027,0.359964189,Medium
USB,0.457683082,0.311217459,Medium
VFC,-0.127289649,0.564503772,High
VLO,0.510614558,0.273257292,Medium
VMC,0.338686239,0.205390582,Medium
VNO,1.062850616,0.550253978,High
VRSK,0.16366982,0.177848565,Low
VRSN,-0.229267,0.178094898,Low
VRTX,0.408510317,0.235728721,Medium
VTR,0.222726295,0.25976813,Medium
VZ,0.250451662,0.234584753,Medium
V,0.249928234,0.1388472,Low
WAT,0.28131083,0.299150867,Medium
WBA,-0.418273048,0.383819187,Medium
WDC,1.070532037,0.341120208,Medium
WEC,-0.038949455,0.191963641,Low
WFC,0.572231794,0.222674492,Medium
WHR,-0.208522026,0.357719295,Medium
WMB,0.520550086,0.174570947,Low
WMT,0.364937238,0.167663798,Low
WM,0.311350283,0.153018411,Low
WRK,1.075373202,0.275125102,Medium
WU,0.24019704,0.236788607,Medium
WYNN,-0.014301087,0.2823106,Medium
WY,0.092259114,0.216854534,Medium
XEL,-0.115668564,0.223816663,Medium
XOM,0.179959149,0.205037015,Medium
XRAY,-0.192644466,0.260844098,Medium
XRX,0.128835428,0.39504084,Medium
XYL,0.436855774,0.19508708,Low
YUM,0.081954514,0.158565954,Low
ZBH,-0.074263373,0.211455697,Medium
ZION,0.785814649,0.444102708,High
ZTS,0.088292857,0.268958252,Medium
