,Name,Historical return,Market Volatility,Risk Level,Expected Returns,Expected Risks
97,CSCO,-0.025704883,0.186243965,1,-0.02091439,1.1555724
98,CSX,0.114282981,0.17564755,1,0.11511403,1.0867397
99,CTAS,0.456943228,0.183787002,1,0.46035445,1.0704315
100,CTSH,0.076248141,0.204923535,2,0.07227002,1.8304725
101,CVS,-0.104517591,0.305475975,2,-0.101049185,2.0646133
102,CVX,0.117188502,0.200350915,2,0.11533587,1.6455424
103,C,0.494753363,0.217015363,2,0.4963578,1.9686843
104,DAL,0.453518457,0.289978225,2,0.45145422,2.0267715
105,DE,0.110222198,0.235283143,2,0.10613919,2.024629
106,DFS,0.291193782,0.351178787,2,0.29010332,2.1681244
107,DGX,0.09370634,0.191462135,1,0.091841064,1.2607538
108,DG,-0.29955643,0.393506809,2,-0.29034972,2.4659467
109,DHI,0.443167132,0.310591901,2,0.43977278,2.0400796
110,DHR,0.279834617,0.224806063,2,0.2793735,2.0148625
111,DIS,0.202809705,0.268547406,2,0.19866055,2.0249355
112,DLR,0.516529011,0.267332719,2,0.5207133,1.9992491
113,DLTR,-0.106556987,0.308494749,2,-0.10298449,2.0698369
114,DOV,0.404097993,0.194552486,1,0.40719348,1.2898269
115,DRI,-0.017347622,0.185743205,1,-0.013934568,1.1503434
116,DTE,0.107191044,0.194396452,1,0.10604601,1.3887616
117,DUK,0.203768323,0.171248663,1,0.20719756,1.1008339
118,DVA,0.675860045,0.351864465,2,0.67499244,2.1569803
119,DVN,0.124510954,0.261552258,2,0.123350844,2.0138106
120,DXC,-0.316310912,0.472567001,3,-0.2996198,2.844646
121,D,0.161472357,0.253168765,2,0.15557338,2.02388
122,EA,0.049256428,0.18617436,1,0.047730252,1.1519082
123,EBAY,0.323614806,0.267450536,2,0.32412827,2.0340226
124,ECL,0.426162715,0.181751147,1,0.43252367,1.076118
125,ED,0.043399939,0.175509034,1,0.043318372,1.0539721
126,EFX,0.15948456,0.298817976,2,0.15286162,2.00654
127,EIX,0.181290923,0.205453544,2,0.18040386,1.8624922
128,EL,-0.263699985,0.437005933,3,-0.2537775,2.6564848
129,EMN,0.397775884,0.236275911,2,0.39674884,1.9995146
130,EMR,0.494925447,0.219341282,2,0.4966889,1.9707422
131,EOG,0.221441122,0.239627165,2,0.21627693,2.0423727
132,EQIX,0.075140003,0.254627012,2,0.07332086,2.0194657
133,EQR,0.120953279,0.206812541,2,0.11798821,1.9206336
134,EQT,0.267097417,0.319666355,2,0.26638773,2.0431361
135,ESS,0.265820758,0.229948218,2,0.26504248,2.0240717
136,ES,-0.099705012,0.262660111,2,-0.09569079,2.0488122
137,ETN,0.988203622,0.241243589,2,0.99268395,1.8834803
138,ETR,0.168943471,0.187179476,1,0.16804187,1.212564
139,EW,0.086602607,0.284429164,2,0.08435139,2.0028067
140,EXC,-0.015768076,0.208625134,2,-0.013178661,1.9817975
141,EXPD,0.117676759,0.195009067,1,0.11702889,1.4200631
142,EXPE,0.267256022,0.446024955,3,0.27827567,2.573328
143,EXR,0.078595051,0.31421482,2,0.07628624,2.0007493
144,FAST,0.267170805,0.201728385,2,0.2690987,1.6948649
145,FCX,0.641076857,0.343807177,2,0.63944775,2.1258116
146,FDX,0.206142899,0.248267094,2,0.20162949,2.0348473
147,FE,0.108501324,0.183427208,1,0.109715104,1.1452639
148,FFIV,0.158835586,0.206703127,2,0.15694633,1.9239098
149,FISV,0.337672116,0.165810263,1,0.34020323,1.0713559
150,FIS,0.446688429,0.243557977,2,0.44805247,1.9900492
151,FITB,0.667220604,0.311596113,2,0.6707835,1.97824
152,FLR,0.709704934,0.378488261,2,0.7093314,2.2931967
153,FLS,0.581724881,0.228638526,2,0.5870422,1.9655364
154,FL,0.335688184,0.657399732,3,0.4007197,3.344678
155,FMC,-0.327705367,0.453111688,3,-0.3143136,2.75759
156,FOXA,0.146373418,0.225218541,2,0.1421515,2.0343368
157,FOX,0.133097638,0.219365233,2,0.12872559,2.0349226
158,FRT,0.19861187,0.214566897,2,0.19660068,2.0397253
159,FTI,1.125455686,0.332822347,2,1.1340615,1.9551288
160,FTV,0.158538045,0.206233424,2,0.15666518,1.9045658
161,F,0.104995597,0.328065491,2,0.10266082,2.013479
162,GD,0.506461628,0.170160518,1,0.5115098,0.9342539
163,GE,1.108305328,0.257325928,2,1.1142737,1.9302733
164,GILD,-0.113455168,0.219590861,2,-0.107969284,2.0298078
165,GIS,-0.166216896,0.186435834,1,-0.15777825,1.1968644
166,GLW,0.262520824,0.217241766,2,0.26336354,2.0161638
167,GM,0.413223142,0.28903605,2,0.40965635,2.029194
168,GOOGL,0.459179046,0.281687947,2,0.45730376,2.021723
169,GOOG,0.465053918,0.280368143,2,0.4637887,2.0208056
170,GPC,0.00088132,0.249910278,2,0.0003094524,2.021527
171,GPN,0.077875953,0.273628692,2,0.07563373,2.007798
172,GPS,2.366132569,0.53217489,3,2.4132047,3.1238043
173,GRMN,0.667297524,0.245050372,2,0.6736242,1.962575
174,GS,0.4673743,0.21638628,2,0.467857,1.9693617
175,GT,-0.049651625,0.400928002,3,-0.04758063,2.371882
176,GWW,0.443434742,0.207206005,2,0.4445241,1.796879
177,HAL,0.32873671,0.275782297,2,0.32755858,2.0405738
178,HAS,0.130105674,0.330851117,2,0.12784038,2.0243943
179,HBAN,0.451850466,0.275971883,2,0.45003003,2.017452
180,HBI,0.380255304,0.549907584,3,0.41079122,3.0274704
181,HCA,0.313818075,0.226095301,2,0.31472299,2.009216
182,HCP,0.159204929,0.577961195,3,0.2128158,3.0701208
183,HD,0.214496005,0.191016723,1,0.21451487,1.255493
184,HES,0.240604019,0.255559617,2,0.23730542,2.038095
185,HIG,0.527398338,0.171236486,1,0.5325294,0.93440676
186,HII,0.302589829,0.230432901,2,0.3028525,2.0149734
187,HLT,0.478040439,0.193454547,1,0.47955763,1.1956618
188,HOG,0.236986116,0.371735948,2,0.24324307,2.2379298
189,HOLX,-0.065036632,0.182321838,1,-0.059319735,1.1230899
190,HON,0.08674226,0.163593897,1,0.090328775,0.9780346
191,HPE,0.384950662,0.300919557,2,0.38028604,2.0498888
192,HPQ,0.424353507,0.285381929,2,0.42154378,2.0256207
193,HP,0.3307191,0.351171031,2,0.3261333,2.1780074
194,HRB,0.757855401,0.261808836,2,0.7611034,1.9438814
195,HRL,-0.134661631,0.286156982,2,-0.12941968,2.067
196,HSIC,-0.041653608,0.213735951,2,-0.039588362,2.0046227
197,HST,0.165420491,0.242676708,2,0.16075905,2.0294592
198,HSY,-0.222662898,0.200104161,2,-0.21069367,1.7401388
199,HUM,-0.263145152,0.327293631,2,-0.25043643,2.1609602
200,IBM,0.373009807,0.206133174,2,0.3759796,1.8024054
201,ICE,0.294543048,0.166190726,1,0.2975614,1.0993884
202,IDXX,0.121879266,0.291979577,2,0.11990073,2.001136
203,IFF,0.360106442,0.332950577,2,0.35411084,2.1058514
204,ILMN,-0.445204348,0.398795225,2,-0.43035263,2.5468004
205,INCY,-0.040921048,0.247135873,2,-0.040348604,2.0282016
206,INTC,0.052068484,0.392471624,2,0.050811533,2.289527
207,INTU,0.399940239,0.259464817,2,0.39690888,2.0177178
208,IPG,-0.109130546,0.264130372,2,-0.1047038,2.0531063
209,IP,0.664519253,0.289581748,2,0.66845846,1.9668164
210,IQV,0.170855674,0.268632277,2,0.1675336,2.0182893
211,IRM,0.594264095,0.229797395,2,0.59994555,1.9651885
212,IR,0.667969012,0.219257655,2,0.675422,1.9313724
213,ISRG,0.360121203,0.270434496,2,0.35786158,2.0279403
214,ITW,0.126684499,0.163328718,1,0.1265264,0.98728913
215,IT,0.248921763,0.255662133,2,0.24559829,2.039702
216,IVZ,0.186789546,0.32020169,2,0.18472964,2.0184815
217,JBHT,-0.019430524,0.257596329,2,-0.019933298,2.029153
218,JCI,0.269513175,0.249815736,2,0.26840347,2.0370388
219,JNJ,-0.021188969,0.162164753,1,-0.017922506,0.9387003
220,JNPR,0.230787053,0.29272717,2,0.2275492,2.0269287
221,JPM,0.532076294,0.169456566,1,0.53747725,0.9173287
222,JWN,0.605546684,0.484414521,3,0.61297566,2.86091
223,KEY,0.726792049,0.391580015,2,0.7275772,2.3606052
224,KHC,-0.035145493,0.185333316,1,-0.029796802,1.1480556
225,KIM,0.117464378,0.255892299,2,0.11631897,2.0151694
226,KLAC,0.85269217,0.32282576,2,0.8594962,1.9378946
227,KMB,0.015643197,0.160118319,1,0.017887734,0.92678446
228,KMI,0.277621137,0.16586626,1,0.28266168,1.0942007
229,KMX,0.03657305,0.378999049,2,0.034392383,2.239524
230,KO,0.081229014,0.130084546,1,0.08775192,0.6941142
231,KR,0.199735919,0.203719836,2,0.19837615,1.7782209
232,KSS,0.492613659,0.593062778,3,0.5200945,3.226032
233,K,-0.003595653,0.204545471,2,-0.00037836283,1.8209333
234,LEG,-0.574076099,0.413209392,3,-0.5551396,2.6728063
235,LEN,0.556425169,0.301885863,2,0.55536133,2.0100765
236,LH,0.092341648,0.182243874,1,0.092597485,1.1250911
237,LKQ,-0.159582698,0.250122561,2,-0.15279303,2.0649424
238,LLY,1.002401678,0.300051065,2,1.0086946,1.8908993
239,LMT,0.075534823,0.169207279,1,0.07627488,1.0169494
240,LNC,0.780694009,0.361134062,2,0.78366095,2.1671343
241,LNT,0.029996915,0.189450321,1,0.02885412,1.1876224
242,LOW,0.118227704,0.211555607,2,0.11423913,2.026965
243,LRCX,0.646739126,0.328981711,2,0.6468848,2.0408342
244,LUV,-0.047083962,0.355394344,2,-0.047420025,2.1834538
245,LYB,0.205352695,0.193301245,1,0.20536722,1.3463082
246,L,0.36493066,0.141011505,1,0.37298536,0.8555643
247,MAA,-0.05692853,0.221104366,2,-0.05475138,2.017004
248,MAC,0.78135076,0.43498591,3,0.78737456,2.5849583
249,MAR,0.411278391,0.212745365,2,0.4122424,1.9762306
250,MAS,0.488633044,0.251099706,2,0.49222767,1.9891245
251,MAT,0.037100233,0.254496307,2,0.035715718,2.0199893
252,MA,0.234140315,0.155826075,1,0.24084097,1.0117581
253,MCD,-0.085993888,0.150644307,1,-0.077061474,0.84056544
254,MCHP,0.377594942,0.323329164,2,0.3717078,2.073017
255,MCK,0.467682256,0.18400561,1,0.4705932,1.0677333
256,MCO,0.28541865,0.198350018,1,0.2863519,1.5587487
257,MDLZ,-0.039737387,0.170194835,1,-0.035227835,1.0107765
258,MDT,0.024169042,0.186573205,1,0.023482773,1.1545336
259,MET,0.515758726,0.203009444,2,0.5176848,1.6105599
260,MGM,0.02972301,0.313155904,2,0.027365945,2.0191855
261,MHK,0.359693726,0.326621861,2,0.3542298,2.0783887
262,MKC,-0.131710281,0.244432312,2,-0.12590925,2.051255
263,MLM,0.46793057,0.218941114,2,0.46860248,1.9719789
264,MMC,0.210920819,0.144402872,1,0.21969356,0.9079893
265,MMM,0.399543762,0.2896692,2,0.39554828,2.0322728
266,MNST,-0.106684632,0.211845386,2,-0.10111846,2.015238
267,MOS,0.009859296,0.328801552,2,0.007690899,2.0477793
268,MO,0.134704497,0.172096786,1,0.13393389,1.0651968
269,MPC,0.738211435,0.269075867,2,0.7412108,1.9443868
270,MRK,0.177292217,0.175828333,1,0.17705369,1.1162587
271,MRO,0.351609898,0.290755588,2,0.34854084,2.04826
272,MSFT,0.301881664,0.20901573,2,0.3019231,1.9720027
273,MSI,0.31264596,0.175696425,1,0.31379175,1.1621616
274,MS,0.276164428,0.243259982,2,0.27601635,2.0304098
275,MTB,0.335757026,0.293596807,2,0.33311778,2.0555394
276,MTD,0.098849207,0.316226299,2,0.09654358,2.0005908
277,MU,0.993027155,0.365477682,2,1.0049111,2.1105478
278,M,0.653347299,0.491193816,3,0.6595251,2.9156604
279,NAVI,0.078391747,0.275875823,2,0.07614632,2.0068295
280,NCLH,0.265480939,0.51738606,3,0.2956692,2.8630996
281,NDAQ,0.114334926,0.230169142,2,0.10899092,2.026987
282,NEE,0.135115136,0.281968444,2,0.13209249,2.007227
283,NEM,0.1295889,0.351238619,2,0.12740856,2.1137333
284,NFLX,0.743335603,0.350484841,2,0.7456947,2.1225226
285,NI,0.102076567,0.192722345,1,0.10101384,1.3156755
286,NKE,-0.066775802,0.269650718,2,-0.06515904,2.0393949
287,NOC,0.065997733,0.211350492,2,0.06305466,2.0086038
288,NOV,0.395084402,0.33524882,2,0.3882066,2.1244452
289,NRG,1.691346007,0.269584404,2,1.7032582,2.059296
290,NSC,0.116919547,0.234882559,2,0.11200975,2.0255463
291,NTAP,0.881548311,0.303832374,2,0.88725615,1.9079542
292,NTRS,0.24658359,0.281944497,2,0.2404864,2.0312192
293,NUE,0.326976196,0.271942517,2,0.32634377,2.0373805
294,NVDA,2.228059022,0.442538437,3,2.2612035,2.7970555
295,NWL,0.051042821,0.510902491,3,0.08296045,2.7936952
296,NWSA,0.520289595,0.217346857,2,0.5229326,1.9675069
297,NWS,0.548765207,0.218068489,2,0.5525005,1.9651349
298,OKE,0.520726029,0.190503677,1,0.52340096,1.1183919
299,OMC,0.089924108,0.223309054,2,0.08620266,2.023425
300,ORCL,0.182775905,0.323072711,2,0.17951754,2.0213852
301,ORLY,0.087705349,0.195864925,1,0.08445226,1.4459863
302,OXY,0.102895027,0.225888585,2,0.09817978,2.0266347
303,O,-0.065467933,0.195869827,1,-0.06135942,1.4650626
304,PAYX,0.184589837,0.187426029,1,0.18424273,1.2122293
305,PCAR,0.64717607,0.2113075,2,0.65398514,1.9017271
306,PCG,0.104111157,0.207264178,2,0.100066446,1.9308648
307,PDCO,0.013426748,0.333613763,2,0.011270538,2.0608966
308,PEG,0.306102663,0.180483653,1,0.3071621,1.1963606
309,PEP,-0.024365337,0.165143409,1,-0.021247044,0.96360254
310,PFE,-0.193974667,0.244164532,2,-0.18463285,2.0735881
311,PFG,0.301346376,0.201913052,2,0.3017212,1.6985785
312,PGR,0.688677418,0.259847849,2,0.69323325,1.9546324
313,PG,0.181943102,0.13751023,1,0.19102345,0.8259085
314,PHM,0.855070738,0.307877578,2,0.8609494,1.9126341
315,PH,0.70914303,0.239398409,2,0.7153672,1.9582981
316,PKG,0.546504254,0.209659187,2,0.5498012,1.9009744
317,PLD,-0.08269664,0.256596085,2,-0.079361185,2.0409648
318,PM,0.181931376,0.158263991,1,0.18616681,0.9838571
319,PNC,0.43927403,0.258172556,2,0.43843317,2.0042837
320,PNR,0.490514016,0.232273481,2,0.4929502,1.9779599
321,PNW,0.06612677,0.203121609,2,0.06263957,1.7541761
322,PPG,0.021991456,0.196699833,1,0.022119168,1.4827832
323,PPL,0.150982047,0.180654212,1,0.15011953,1.1448052
324,PRGO,-0.053137865,0.33886182,2,-0.053429857,2.1171188
325,PRU,0.613964515,0.188972067,1,0.62029064,1.1174731
326,PSA,0.014193069,0.229141973,2,0.014671978,2.014526
327,PSX,0.612101597,0.244308222,2,0.6188778,1.968156
328,PVH,0.457324505,0.398854324,2,0.45588815,2.4178214
329,PWR,0.644938788,0.284633196,2,0.648484,1.9707458
330,PXD,0.47235184,0.223047339,2,0.47346717,1.9746425
331,PX,-0.184132705,0.346420395,2,-0.17631663,2.2005675
332,PYPL,0.074714534,0.354409461,2,0.07233503,2.121152
333,QCOM,0.93982515,0.306357097,2,0.9460159,1.8975847
334,QRVO,0.054650318,0.328464131,2,0.05229337,2.0230873
335,RCL,0.91984301,0.31860139,2,0.92657363,1.9070357
336,REGN,0.346298882,0.198251966,1,0.3484118,1.5182115
337,REG,0.137600138,0.203669078,2,0.13585992,1.7970879
338,RF,0.217002055,0.310969664,2,0.21800219,2.0196922
339,RHI,0.039781004,0.233112662,2,0.040078722,2.0154636
340,RJF,0.403797758,0.213705465,2,0.40463805,1.9801047
341,RL,0.866385504,0.300328533,2,0.8718342,1.9116752
342,RMD,0.0853597,0.395140637,2,0.087993756,2.2989578
343,ROK,-0.014171296,0.303533161,2,-0.01646889,2.0377684
344,ROP,0.179401725,0.148042954,1,0.18554714,0.9034772
345,ROST,0.3962001,0.210380251,2,0.39740986,1.9622507
346,RRC,0.42756645,0.324786425,2,0.42253244,2.0692952
347,RSG,0.314686893,0.129575139,1,0.31949055,0.83288735
348,SBAC,-0.075665544,0.292149594,2,-0.07388018,2.0468166
349,SBUX,-0.144591316,0.260838508,2,-0.13863286,2.0652213
350,SCHW,0.446945037,0.292746738,2,0.4450472,2.028451
351,SEE,0.081827671,0.348825562,2,0.07945898,2.0974522
352,SHW,0.36606474,0.198393848,1,0.3695588,1.4983585
353,SIG,0.860336297,0.439781375,3,0.8709631,2.5798137
354,SJM,-0.220598978,0.214615799,2,-0.20890798,2.0591688
355,SLB,0.126761484,0.270979225,2,0.124957815,2.0101876
356,SLG,1.844079544,0.585089737,3,1.8959324,3.0639555
357,SNA,0.134355071,0.218200054,2,0.13011397,2.0357115
358,SNPS,0.288762313,0.271776402,2,0.28902888,2.0457242
359,SO,0.184803626,0.18039395,1,0.18559979,1.1559467
360,SPGI,0.180047265,0.193627251,1,0.17903502,1.3673446
361,SPG,0.539452149,0.222547984,2,0.5430911,1.9681425
362,SRCL,0.233078818,0.326913604,2,0.23491539,2.0430713
363,SRE,0.090769499,0.183561467,1,0.09043253,1.1366587
364,STI,0.460562666,2.142939376,3,1.0982655,4.964339
365,STT,0.166436912,0.238904035,2,0.16192526,2.0312994
366,STX,0.706248196,0.316946558,2,0.7111723,1.9694128
367,STZ,0.045746673,0.174530435,1,0.04576158,1.0460973
368,SWKS,-0.053644549,0.312816488,2,-0.05446677,2.0599666
369,SWK,0.239169154,0.308044448,2,0.2374039,2.0283952
370,SYF,0.484418881,0.273952457,2,0.4853934,2.012109
371,SYK,0.276268845,0.206476423,2,0.27674413,1.8845958
372,SYY,0.069357044,0.176340191,1,0.06884396,1.0689667
373,TAP,-0.094736273,0.218278457,2,-0.08972946,2.0213184
374,TDG,0.812259267,0.20439027,2,0.82187563,1.6148132
375,TEL,0.257665493,0.201160088,2,0.260686,1.6706846
376,TGT,0.244404832,0.322478371,2,0.24626318,2.038901
377,TJX,0.385627975,0.161458314,1,0.39477527,0.97943187
378,TMO,0.135269487,0.211649789,2,0.13231787,2.0347886
379,TPR,0.159082362,0.327592928,2,0.15469873,2.02287
380,TRIP,0.31387621,0.495154078,3,0.33338302,2.7896643
381,TROW,0.165595202,0.25688931,2,0.1602793,2.0228949
382,TRV,0.30679974,0.184875405,1,0.3076696,1.225816
383,TSCO,0.401635088,0.226143452,2,0.4010527,1.9921141
384,TSN,0.188955853,0.22166605,2,0.18737534,2.0434232
385,TXN,0.195096347,0.238885097,2,0.1918351,2.0364664
386,TXT,0.438689715,0.243607579,2,0.43941677,1.9912553
387,T,0.234851163,0.236771992,2,0.23369953,2.041255
388,UAA,0.042090982,0.394772442,2,0.040725313,2.3035474
389,UAL,0.165271274,0.388971376,2,0.17327681,2.288605
390,UA,0.099736191,0.376830951,2,0.098575294,2.2201412
391,UDR,0.023613842,0.228078224,2,0.024328198,2.0142577
392,UHS,0.455020951,0.23728914,2,0.45638478,1.9836636
393,ULTA,-0.01751101,0.292444336,2,-0.019538723,2.035135
394,UNH,0.028959839,0.222716947,2,0.030376978,2.0131075
395,UNM,0.287817154,0.212276488,2,0.2880636,2.0074701
396,UNP,0.235326121,0.199528366,1,0.2373221,1.599887
397,UPS,-0.120484442,0.236999403,2,-0.11500469,2.042465
398,URI,1.134084027,0.359964189,2,1.1458423,2.0508697
399,USB,0.457683082,0.311217459,2,0.45362616,2.0407836
400,VFC,-0.127289649,0.564503772,3,-0.08917667,3.0912502
401,VLO,0.510614558,0.273257292,2,0.5137087,2.006176
402,VMC,0.338686239,0.205390582,2,0.34074408,1.8152795
403,VNO,1.062850616,0.550253978,3,1.0898689,3.1027322
404,VRSK,0.16366982,0.177848565,1,0.16310245,1.1263252
405,VRSN,-0.229267,0.178094898,1,-0.21647577,1.1457613
406,VRTX,0.408510317,0.235728721,2,0.4068663,1.9950601
407,VTR,0.222726295,0.25976813,2,0.21768783,2.032699
408,VZ,0.250451662,0.234584753,2,0.25082847,2.033861
409,V,0.249928234,0.1388472,1,0.26109868,0.9049589
410,WAT,0.28131083,0.299150867,2,0.2776723,2.046199
411,WBA,-0.418273048,0.383819187,2,-0.40315688,2.467322
412,WDC,1.070532037,0.341120208,2,1.0791843,1.9635051
413,WEC,-0.038949455,0.191963641,1,-0.034386598,1.2948945
414,WFC,0.572231794,0.222674492,2,0.5770508,1.964968
415,WHR,-0.208522026,0.357719295,2,-0.20028247,2.261527
416,WMB,0.520550086,0.174570947,1,0.5251843,0.9655806
417,WMT,0.364937238,0.167663798,1,0.3698765,1.0518731
418,WM,0.311350283,0.153018411,1,0.31372455,1.0042806
419,WRK,1.075373202,0.275125102,2,1.0811315,1.9167668
420,WU,0.24019704,0.236788607,2,0.24045575,2.039494
421,WYNN,-0.014301087,0.2823106,2,-0.01603958,2.0295284
422,WY,0.092259114,0.216854534,2,0.0877298,2.0217612
423,XEL,-0.115668564,0.223816663,2,-0.110160396,2.0344253
424,XOM,0.179959149,0.205037015,2,0.17903122,1.8456963
425,XRAY,-0.192644466,0.260844098,2,-0.18353958,2.0836272
426,XRX,0.128835428,0.39504084,2,0.13559656,2.3040829
427,XYL,0.436855774,0.19508708,1,0.43942243,1.2774547
428,YUM,0.081954514,0.158565954,1,0.08583403,0.93557924
429,ZBH,-0.074263373,0.211455697,2,-0.07051751,2.0060732
430,ZION,0.785814649,0.444102708,3,0.79258585,2.6349504
431,ZTS,0.088292857,0.268958252,2,0.08617631,2.0090666
